[2026-01-22 16:22:48] ============================================================
[2026-01-22 16:22:48] Updater started
[2026-01-22 16:22:48] Download URL: https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe
[2026-01-22 16:22:48] Target EXE: C:\Scr\TVL\dist\PreservationApp.exe
[2026-01-22 16:22:48] Version: 1.0.0
[2026-01-22 16:22:48] Expected SHA256: 758B2000587DBDE3...
[2026-01-22 16:22:48] Waiting for PreservationApp.exe to exit...
[2026-01-22 16:22:49] PreservationApp.exe has exited
[2026-01-22 16:22:50] Backup created: C:\Scr\TVL\dist\PreservationApp.exe.backup
[2026-01-22 16:22:50] Downloading from https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe...
[2026-01-22 16:23:06] Downloaded 15073280/39971592 bytes (37.7%)
[2026-01-22 16:23:07] Downloaded 15155200/39971592 bytes (37.9%)
[2026-01-22 16:23:07] Downloaded 15237120/39971592 bytes (38.1%)
[2026-01-22 16:23:07] Downloaded 15319040/39971592 bytes (38.3%)
[2026-01-22 16:23:07] Downloaded 15400960/39971592 bytes (38.5%)
[2026-01-22 16:23:07] Downloaded 15482880/39971592 bytes (38.7%)
[2026-01-22 16:23:07] Downloaded 15564800/39971592 bytes (38.9%)
[2026-01-22 16:23:07] Downloaded 15646720/39971592 bytes (39.1%)
[2026-01-22 16:23:07] Downloaded 15728640/39971592 bytes (39.3%)
[2026-01-22 16:23:07] Downloaded 15810560/39971592 bytes (39.6%)
[2026-01-22 16:23:07] Downloaded 15892480/39971592 bytes (39.8%)
[2026-01-22 16:23:07] Downloaded 15974400/39971592 bytes (40.0%)
[2026-01-22 16:23:07] Downloaded 16056320/39971592 bytes (40.2%)
[2026-01-22 16:23:07] Downloaded 16138240/39971592 bytes (40.4%)
[2026-01-22 16:23:07] Downloaded 16220160/39971592 bytes (40.6%)
[2026-01-22 16:23:08] Downloaded 16302080/39971592 bytes (40.8%)
[2026-01-22 16:23:08] Downloaded 16384000/39971592 bytes (41.0%)
[2026-01-22 16:23:08] Downloaded 16465920/39971592 bytes (41.2%)
[2026-01-22 16:23:08] Downloaded 16547840/39971592 bytes (41.4%)
[2026-01-22 16:23:08] Downloaded 16629760/39971592 bytes (41.6%)
[2026-01-22 16:23:08] Downloaded 16711680/39971592 bytes (41.8%)
[2026-01-22 16:23:08] Downloaded 16793600/39971592 bytes (42.0%)
[2026-01-22 16:23:08] Downloaded 16875520/39971592 bytes (42.2%)
[2026-01-22 16:23:08] Downloaded 16957440/39971592 bytes (42.4%)
[2026-01-22 16:23:08] Downloaded 17039360/39971592 bytes (42.6%)
[2026-01-22 16:23:08] Downloaded 17121280/39971592 bytes (42.8%)
[2026-01-22 16:23:08] Downloaded 17203200/39971592 bytes (43.0%)
[2026-01-22 16:23:08] Downloaded 17285120/39971592 bytes (43.2%)
